city,district,neighborhood,room,living_room,area,age,floor,price,area_per_room
istanbul,uskudar,selimiye,2,1,90,55,2,35000,30
istanbul,sisli,mesrutiyet,1,1,55,45,-2,16000,27
istanbul,besiktas,visnezade,1,1,65,35,1,25000,32
istanbul,beylikduzu,baris,1,1,82,3,7,30000,41
istanbul,sariyer,bahcekoy_merkez,1,1,75,20,1,18000,37
istanbul,kagithane,celiktepe,1,1,65,10,4,30000,32
istanbul,eyupsultan,silahtaraga,2,1,75,8,2,26500,25
istanbul,kucukcekmece,cumhuriyet,1,1,60,20,0,14500,30
istanbul,sisli,19_mayis,1,1,75,25,1,24500,37
istanbul,bahcelievler,siyavuspasa,2,1,95,20,1,28000,31
istanbul,fatih,atikali,2,1,80,35,3,23000,26
istanbul,avcilar,merkez,1,1,60,31,3,18500,30
istanbul,kucukcekmece,gultepe,2,1,80,30,1,16000,26
istanbul,sisli,tesvikiye,2,1,80,40,2,35000,26
istanbul,fatih,koca_mustafapasa,1,1,60,4,-1,18000,30
istanbul,kartal,cumhuriyet,2,1,100,22,5,18000,33
istanbul,kagithane,seyrantepe,4,1,170,7,5,48000,34
istanbul,kagithane,hamidiye,3,1,140,20,-2,46500,35
istanbul,besiktas,etiler,2,1,100,50,3,45000,33
istanbul,beylikduzu,adnan_kahveci,3,1,150,2,3,42000,37
istanbul,maltepe,altaycesme,3,1,120,25,2,40000,30
istanbul,maltepe,idealtepe,3,1,115,1,1,52000,28
istanbul,kucukcekmece,atakent,2,1,75,15,5,30000,25
istanbul,kagithane,sirintepe,2,1,68,2,1,25000,22
istanbul,kucukcekmece,gultepe,3,1,130,35,4,20000,32
istanbul,kucukcekmece,yeni_mahalle,2,1,75,6,-2,17500,25
istanbul,kucukcekmece,inonu,3,1,135,21,3,16000,33
istanbul,uskudar,aziz_mahmut_hudayi,2,1,65,1,5,42000,21
istanbul,uskudar,icadiye,2,1,82,0,-2,25000,27
istanbul,maltepe,aydinevler,2,1,90,0,2,31000,30
istanbul,beykoz,anadolu_hisari,3,1,145,35,3,55000,36
istanbul,kagithane,caglayan,1,1,42,8,3,30999,21
istanbul,esenyurt,koza,1,1,60,13,3,19000,30
istanbul,maltepe,aydinevler,2,1,90,9,2,34000,30
istanbul,besiktas,turkali,3,1,150,35,4,70000,37
istanbul,esenyurt,selahaddin_eyyubi,2,1,105,5,3,17500,35
istanbul,kadikoy,feneryolu,3,1,150,33,1,45000,37
istanbul,gungoren,merkez,2,1,90,31,4,27000,30
istanbul,kucukcekmece,halkali_merkez,3,1,140,12,5,65000,35
istanbul,sariyer,ayazaga,2,1,100,10,1,41000,33
istanbul,kagithane,celiktepe,1,1,70,35,1,15500,35
istanbul,kagithane,celiktepe,2,1,90,5,8,35000,30
istanbul,sancaktepe,inonu,1,1,60,9,5,20000,30
istanbul,kagithane,hurriyet,1,1,65,5,2,35000,32
istanbul,kartal,hurriyet,3,1,140,20,8,26000,35
istanbul,kadikoy,zuhtupasa,3,1,135,28,6,60000,33
istanbul,uskudar,unalan,3,1,175,23,1,46500,43
istanbul,gaziosmanpasa,sarigol,2,1,80,7,3,25000,26
istanbul,esenyurt,pinar,2,1,120,4,3,28000,40
istanbul,maltepe,idealtepe,2,1,139,20,1,47500,46
istanbul,beyoglu,gumussuyu,2,1,90,40,3,40000,30
istanbul,kadikoy,sahrayi_cedit,3,1,150,30,2,62500,37
istanbul,maltepe,findikli,1,1,55,4,3,26000,27
istanbul,cekmekoy,aydinlar,2,1,90,5,1,24500,30
istanbul,kartal,topselvi,3,1,140,25,5,24000,35
istanbul,kartal,topselvi,3,1,140,25,5,24000,35
istanbul,uskudar,mimar_sinan,2,1,100,40,2,23000,33
istanbul,kartal,ugur_mumcu,3,1,129,20,8,27000,32
istanbul,besiktas,gayrettepe,2,1,90,35,5,52000,30
istanbul,kadikoy,erenkoy,3,1,160,44,3,55000,40
istanbul,sariyer,kirecburnu,1,1,90,30,1,16000,45
istanbul,esenyurt,hurriyet,3,1,140,6,0,16000,35
istanbul,pendik,esenyali,3,1,140,35,3,20000,35
istanbul,sisli,19_mayis,2,1,100,24,3,35000,33
istanbul,sancaktepe,akpinar,2,1,85,6,2,28500,28
istanbul,eyupsultan,circir,1,1,60,2,3,26000,30
istanbul,sancaktepe,emek,3,1,156,10,5,50000,39
istanbul,kartal,kordonboyu,3,1,140,25,5,50000,35
istanbul,buyukcekmece,fatih,3,1,150,20,3,30000,37
istanbul,sisli,gulbahar,2,1,90,25,2,20500,30
istanbul,bahcelievler,kocasinan_merkez,1,1,60,8,-2,20000,30
istanbul,pendik,orhangazi,2,1,80,9,-2,15000,26
istanbul,uskudar,cengelkoy,2,1,115,0,2,65000,38
istanbul,atasehir,icerenkoy,2,1,70,12,-2,25000,23
istanbul,umraniye,tatlisu,3,1,120,12,4,42000,30
istanbul,pendik,yenisehir,1,1,76,15,-2,23000,38
istanbul,maltepe,altintepe,2,1,120,31,4,35000,40
istanbul,maltepe,cinar,3,1,120,31,3,35000,30
istanbul,beyoglu,sutluce,3,1,160,28,4,45000,40
istanbul,uskudar,sultantepe,2,1,70,34,2,30000,23
istanbul,cekmekoy,mehmet_akif,3,1,135,20,4,40000,33
istanbul,arnavutkoy,tasoluk,2,1,90,6,5,18500,30
istanbul,maltepe,idealtepe,2,1,70,0,1,41000,23
istanbul,maltepe,cinar,1,1,55,0,0,32000,27
